row,transcript,round,chair,keys_local,keys_escalated,outcome,reading,intent,your_verdict,notes
1,"2026-09-24T23-56-16-322Z.referee.json",3,warden,"loose_tile/reveal/none","loose_tile/reveal/none",still refused,not the referee: unbuilt or correctly refused,"Examine loose_tile closely to establish its current integrity and condition",,
2,"2026-09-25T00-14-53-769Z.referee.json",8,prisoner,"none/none/none","none/noise/none",RESOLVED,the referee dropped it,"I step away from the window toward the cot and keep my hands visible at my sides.",,
3,"2026-09-25T00-14-53-769Z.referee.json",9,prisoner,"bar/none/none","bar/noise/none",RESOLVED,the referee dropped it,"I keep my hands visible at my sides and slowly reach toward the rusted bar at the bottom of the window, fingertips hovering just short of the iron.",,
4,"2026-09-25T00-54-08-570Z.referee.json",8,warden,"loose_tile/reveal/none","loose_tile/reveal/concealment",RESOLVED,the referee dropped it,"Examine the loose_tile closely for signs of tampering or recent movement",,
5,"2026-09-25T01-50-35-434Z.referee.json",4,warden,"loose_tile/reveal/none","loose_tile/reveal/concealment",RESOLVED,the referee dropped it,"Examine the loose_tile closely to establish its current condition and stability",,
6,"2026-09-25T00-01-11-724Z.referee.json",8,prisoner,"none/none/none","none/none/none",still refused,not the referee: unbuilt or correctly refused,"Remain perfectly still with hands empty and visible, watching Warden Croft closely as she examines the bar, and make no contact with the bar, spoon, or mortar this turn",,
7,"2026-09-25T00-23-42-507Z.referee.json",6,prisoner,"none/none/none","prisoner/noise/none",RESOLVED,the referee dropped it,"Step back from the window as ordered, hands visible, and move to a neutral position near the cot",,
8,"2026-09-25T00-23-42-507Z.referee.json",7,prisoner,"prisoner/none/none","prisoner/noise/none",RESOLVED,the referee dropped it,"Step back from the window, keep hands visible, and move to a neutral position near the cot in clear compliance with Croft's order.",,
9,"2026-09-25T00-23-42-507Z.referee.json",8,prisoner,"prisoner/none/none","prisoner/noise/none",RESOLVED,the referee dropped it,"Step back from the window and stand with hands visible in clear compliance with Croft's order",,
10,"2026-09-25T01-09-42-366Z.referee.json",4,prisoner,"spoon/conceal/none","spoon/conceal/concealment",RESOLVED,the referee dropped it,"Lift the loose_tile slightly and slide the spoon into the shallow hollow under it, then set the tile back down without making noise",,
11,"2026-09-25T01-09-42-366Z.referee.json",5,prisoner,"cot/none/none","prisoner/wear/posture",RESOLVED,the referee dropped it,"Sit on the cot in full view of Croft and stay still",,
12,"2026-09-25T01-09-42-366Z.referee.json",8,warden,"prisoner/reveal/none","spoon/reveal/concealment",RESOLVED,the referee dropped it,"Look closely at Mara Voss's hands and the front of her clothing to see if the spoon is on her person",,
13,"2026-09-25T01-09-42-366Z.referee.json",8,prisoner,"none/none/none","none/none/none",still refused,not the referee: unbuilt or correctly refused,"Remain completely still and compliant while Croft examines the bar, hands visible and no work done on bar, lock, spoon or loose_tile",,
14,"2026-09-25T01-09-42-366Z.referee.json",9,prisoner,"none/none/none","prisoner/none/none",still refused,not the referee: unbuilt or correctly refused,"Remain completely still with hands visible and make no work on bar, lock, spoon or loose tile while Croft examines the bar",,
15,"2026-09-25T01-15-38-878Z.referee.json",9,warden,"blanket/reveal/none","blanket/reveal/none",still refused,not the referee: unbuilt or correctly refused,"Lift and shake the heavy grey wool blanket to look for the hidden spoon",,
16,"2026-09-25T01-31-25-639Z.referee.json",1,prisoner,"cot/none/none","prisoner/wear/posture",RESOLVED,the referee dropped it,"Sit on the cot as instructed and keep hands visible on my lap, listening to Croft while appearing compliant",,
17,"2026-09-25T01-31-25-639Z.referee.json",5,warden,"loose_tile/reveal/none","loose_tile/reveal/none",still refused,not the referee: unbuilt or correctly refused,"Examine the loose_tile closely to record its baseline integrity and condition.",,
18,"2026-09-25T01-31-25-639Z.referee.json",6,warden,"loose_tile/reveal/none","loose_tile/reveal/concealment",RESOLVED,the referee dropped it,"Examine the loose_tile closely to record its baseline integrity and condition.",,
19,"2026-09-25T01-31-25-639Z.referee.json",7,warden,"loose_tile/reveal/none","loose_tile/reveal/concealment",RESOLVED,the referee dropped it,"Examine the loose_tile closely to record its baseline integrity and condition.",,
20,"2026-09-25T01-31-25-639Z.referee.json",9,warden,"loose_tile/reveal/none","loose_tile/reveal/concealment",RESOLVED,the referee dropped it,"Closely examine the loose_tile to determine its current integrity and note any wear or change from previous observations",,
21,"2026-09-25T01-31-25-639Z.referee.json",10,warden,"loose_tile/reveal/none","loose_tile/reveal/none",still refused,not the referee: unbuilt or correctly refused,"Closely examine the loose_tile to determine its current integrity and note any wear or change from previous observations",,
22,"2026-09-25T01-40-02-976Z.referee.json",7,prisoner,"none/none/none","warden/reveal/none",still refused,not the referee: unbuilt or correctly refused,"Stay completely still and watch Warden Croft while she examines the bar, saying nothing and making no movement toward the window, bar, mortar or spoon.",,
