row,transcript,round,chair,target,effect,property,magnitude,intent,why_refused,proposed_class,proposed_label,your_label,notes
1,O/2026-09-21T22-08-25-546Z.md,1,warden,none,reveal,none,slight,"Do a casual visual sweep of the cell while engaging Voss in conversation — I want to note the current positions of the spoon, the loose tile, and all objects, and I want to watch where her eyes go when I speak to her, to get a read on what she's been thinking about.","refused as an attempt to look closely at something, its target left unread",decide: no-change acts,unbuilt,unbuilt,
2,O/2026-09-21T22-08-25-546Z.md,1,prisoner,loose_tile,wear,none,slight,"Sit on the cot with the blanket draped over my lap. While talking to Croft in a calm, slightly weary tone, use my foot to rock the loose tile and subtly scrape the flat edge of the spoon against its rough underside beneath the blanket, sharpening the spoon's edge. Keep the motion small and hidden.","refused as an attempt to wear at the loose tile, which property it meant left unread",unbuilt: sharpen,unbuilt,unbuilt,
3,O/2026-09-21T22-08-25-546Z.md,4,prisoner,cot,wear,posture,moderate,"Yawn, sit down on the cot, and tell Croft I'm feeling worn out and turning in early. Act drowsy and cooperative. The goal is to seem so boring and settled that she finishes her round and leaves the cell, giving me time alone to work.","refused as an attempt to wear at the cot, posture being a property the cot lacks",decide: no-change acts,unbuilt,unbuilt,
4,O/2026-09-21T22-08-25-546Z.md,7,warden,spoon,reveal,concealment,moderate,"Closely examine the spoon edge by picking it up from the meal tray and inspecting it in the light from the window, then walk to the cot and closely examine the loose tile — lifting it to check the hollow beneath for any signs of disturbance, hidden items, or fresh scraping. While doing both, observe Voss's reaction.","refused as an attempt to look closely at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
5,O/2026-09-21T22-08-27-040Z.md,1,warden,none,reveal,integrity,moderate,"Walk a slow, deliberate circuit of the cell — pausing at the window to visually inspect the bars and mortar, then at the door to glance at the lock and bolt gap — while watching Voss's eyes to see what she tracks as I move. I do not touch anything yet; I am cataloguing and making my attention visible.","refused as an attempt to look closely at something, its target left unread",decide: no-change acts,unbuilt,unbuilt,
6,O/2026-09-21T22-08-27-040Z.md,3,warden,bar,reveal,integrity,moderate,"Closely examine the bar in the window — run my hands along its full length, check the mortar at top and bottom, and look for any fresh scratches, filing marks, or weakening. I want to compare its current state against the round-0 baseline of 100 integrity.","refused as an attempt to look closely at the bar, its grounds in your words and in the bar's description left unverified",misruled: citation guard,misruled,misruled,
7,O/2026-09-21T22-08-27-040Z.md,4,warden,lock,reveal,integrity,moderate,"Closely examine the cell door lock — inspect the steel face, the keyhole gap from the interior side, and the bolt edge visible through the finger-width gap between door and frame — looking for any fresh scratches, tool marks, scoring, or signs of manipulation that would indicate someone has been working on it with a thin implement like a wire. I want to compare its current condition against its round-0 baseline integrity of 100.","refused as an attempt to look closely at the lock, its grounds in your words and in the lock's description left unverified",misruled: citation guard,misruled,misruled,
8,O/2026-09-21T22-08-27-040Z.md,4,prisoner,spoon,conceal,concealment,slight,"Show Croft the spoon and claim that's what I was hiding behind my back — I was using it to scratch an itch on my back and felt stupid about it. While presenting the spoon with one hand, keep the wire tucked securely in my waistband with my other hand pressed casually against my hip. If she seems satisfied, invite her to check under the cot for the missing cot wire to reinforce that misdirection.","refused as an attempt to hide the spoon, its grounds in your words and in the spoon's description left unverified",misruled: wrong key,misruled,misruled,
9,O/2026-09-21T22-08-27-040Z.md,5,prisoner,spoon,wear,none,moderate,"Claim I have a skin irritation on my lower back that I've been scratching with the spoon handle and was embarrassed about, then sit down heavily on the cot looking ashamed and defeated. Keep my hand casually pressed against my hip over the waistband where the wire is hidden. The goal is to give Croft a believable, embarrassing explanation that satisfies her curiosity and prompts her to finish up and leave the cell.","refused as an attempt to wear at the spoon, which property it meant left unread",decide: no-change acts,unbuilt,unbuilt,
10,O/2026-09-21T22-08-27-040Z.md,6,warden,prisoner,reveal,concealment,substantial,"Tell Voss to face the wall and lift the back of her shirt so I can see the supposed rash, then conduct a thorough pat-down search of her entire person — clothing seams, waistband, hems, socks, hair — feeling for any concealed wire, metal strips, or improvised tools.","refused as an attempt to look closely at Mara Voss, concealment being a property Mara Voss lacks",unbuilt: custody / search,unbuilt,unbuilt,
