# seed=20260925 sample=30 of 255 grounded rulings, model=claude-opus-4-6
row,transcript,round,chair,keys_local,keys_escalated,magnitude_local,magnitude_escalated,outcome,intent,your_verdict,notes
1,"2026-09-24T23-56-16-322Z.referee.json",1,prisoner,"loose_tile/reveal/concealment","loose_tile/reveal/concealment","slight","slight",AGREES,"I kneel by the loose tile beside the cot and press down gently on its cracked corner with my fingertips.",,
2,"2026-09-25T01-15-38-878Z.referee.json",2,warden,"bar/reveal/integrity","bar/reveal/integrity","slight","moderate",AGREES,"Examine the iron bar that closes the widest gap in the cell's small window closely, running fingers along its rust pitted surface and the dry cracked mortar it is set into to confirm its current integrity",,
3,"2026-09-25T01-15-38-878Z.referee.json",4,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Examine the bar closely to check its integrity and rust/pitting condition",,
4,"2026-09-24T23-56-16-322Z.referee.json",5,prisoner,"loose_tile/reveal/concealment","loose_tile/reveal/concealment","slight","slight",AGREES,"I keep my hands where Croft can see them and I slowly crouch by the cot, then I lightly press the edge of the loose tile beside the cot with the ball of my foot to test how it rocks.",,
5,"2026-09-25T00-23-42-507Z.referee.json",1,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Closely examine the iron bar that closes the widest gap in the window, inspecting the rust pitting near the bottom and the dry cracked mortar it sits in.",,
6,"2026-09-25T00-23-42-507Z.referee.json",4,prisoner,"bar/wear/integrity","window/open/passage","slight","slight",DIFFERENT KEYS,"Use the spoon to gently scrape the dry cracked mortar at the base of the bar, keeping hands visible and movements slight, trying not to make noise.",,
7,"2026-09-24T23-35-40-526Z.referee.json",2,prisoner,"bar/open/integrity","window/open/passage","slight","slight",DIFFERENT KEYS,"I press the dented spoon against the rusted bar where it sits in the cracked mortar and rub the edge back and forth against the iron, keeping my movements low.",,
8,"2026-09-25T00-01-11-724Z.referee.json",2,warden,"lock/reveal/integrity","lock/reveal/integrity","moderate","moderate",AGREES,"Examine the steel lock set in the cell door closely to establish its current integrity baseline",,
9,"2026-09-24T23-35-41-856Z.referee.json",9,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Closely examine the iron bar that closes the widest gap in the cell's small window for wear, rust pitting and mortar condition.",,
10,"2026-09-24T23-35-41-856Z.referee.json",6,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Closely examine the iron bar that closes the widest gap in the cell's small window to assess its integrity and signs of recent tampering.",,
11,"2026-09-25T01-31-25-639Z.referee.json",3,prisoner,"loose_tile/reveal/concealment","loose_tile/reveal/concealment","slight","slight",AGREES,"Gently rock loose_tile with the sole of my shoe to loosen it and peek at the grit underneath without fully lifting it, keeping movement minimal and silent",,
12,"2026-09-25T01-40-02-976Z.referee.json",5,warden,"spoon/reveal/edge","spoon/reveal/edge","moderate","moderate",AGREES,"Examine the dented aluminium spoon closely to assess its edge wear and any fresh scoring",,
13,"2026-09-25T01-50-35-434Z.referee.json",1,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Examine the iron bar in the window closely, running a hand along its length and checking the rust and mortar where it is set.",,
14,"2026-09-25T01-31-25-639Z.referee.json",9,prisoner,"bar/open/integrity","window/open/passage","slight","slight",DIFFERENT KEYS,"Use the spoon with grit in hand to gently scrape the dry mortar at the base of the iron bar, keeping the motion quiet and keeping the spoon hidden from view",,
15,"2026-09-25T01-15-38-878Z.referee.json",7,prisoner,"spoon/conceal/concealment","spoon/conceal/concealment","slight","slight",AGREES,"Push dry grit from the hollow under the loose tile over the spoon to bury it deeper and increase its concealment",,
16,"2026-09-25T00-54-08-570Z.referee.json",2,warden,"lock/reveal/integrity","lock/reveal/integrity","moderate","moderate",AGREES,"Examine the lock closely for baseline integrity",,
17,"2026-09-25T00-33-51-967Z.referee.json",8,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Closely examine the iron bar that closes the widest gap in the cell's small window for pitting, looseness, fresh scratches or change in how it sits in the mortar",,
