row,transcript,round,chair,target,effect,property,intent,why_refused,proposed_class,proposed_jurisdiction,your_class,your_jurisdiction,notes
1,2026-09-23T13-51-27-780Z.referee.json,3,prisoner,spoon,none,edge,"Sit on the cot, pull the heavy blanket across my lap as though settling in against the cold, and underneath it, work the flat edge of the spoon back and forth along the rough, paint-flaked crossbar to sharpen it further — slow, steady strokes timed to the rhythm of conversation so any faint scraping is masked by my voice and the blanket's muffling.","refused, its effect on the spoon left unread",misruled: an act with a real effect read as none,model,misruled,,
2,2026-09-23T13-51-30-194Z.referee.json,6,prisoner,cot,none,none,"Sit down on the cot, pull the meal tray toward me, and use the spoon to eat from the bowl — calmly showing Croft exactly why the spoon was on me and not on the tray. I act unhurried and unbothered.","refused, its effect on the cot left unread",unbuilt: no-change act (wait and watch),run-dmcp,unbuilt,,
3,2026-09-23T13-51-30-194Z.referee.json,7,prisoner,spoon,none,none,"Place the spoon on the meal tray without protest. Comply fully — set the spoon down on the tray, step back, and let Croft take the tray out. Act like a tired prisoner who doesn't care enough to argue over a spoon.","refused, its effect on the spoon left unread",unbuilt: put a thing somewhere,run-dmcp,unbuilt,,
4,2026-09-23T13-51-30-194Z.referee.json,9,prisoner,warden,conceal,none,"While Croft is near the window with her attention on it, grab the heavy wool blanket from the cot, throw it over her head to blind and tangle her, and in the same motion seize the key ring from her belt.",conceal named no property,"needs reading: conceal on a person with no property named -- unbuilt mechanism, or misread? the intent decides",,unbuilt,,
5,2026-09-23T14-29-15-980Z.referee.json,3,prisoner,spoon,conceal,none,"Sit down on the cot beside the loose tile, and while leaning forward engaging Croft in conversation about books, use my near hand low by my side to quietly lift the cracked corner of the loose tile, slide the spoon into the hollow beneath it, and settle the tile back flat — all while maintaining eye contact and talking naturally.",conceal named no property,"misruled: conceal named, property dropped (spoon declares edge/concealment)",model,misruled,,
6,2026-09-23T14-29-15-980Z.referee.json,5,warden,none,reveal,none,"Pick up the spoon from the meal tray and closely examine its edge, tip, and handle for any signs of sharpening, grinding, or deliberate modification since I last checked it three rounds ago.",no object the actor can reach or perceive was named,correctly refused: nothing named is in reach,prisoner,genuine,,
7,2026-09-23T14-29-15-980Z.referee.json,5,prisoner,cot,none,none,"Sit down on the cot, lean back against the wall looking tired and defeated, and respond to Croft's comment with a resigned admission that I've been counting ceiling stains and tracing cracks in the wall to pass time — giving her an innocent explanation for any ""busy"" behavior she may have noticed. Stay near the hidden spoon naturally without drawing attention to the cot frame.","refused, its effect on the cot left unread",unbuilt: no-change act (wait and watch),run-dmcp,unbuilt,,
8,2026-09-23T14-29-15-980Z.referee.json,8,warden,meal_tray,reveal,none,"Closely examine the meal tray near the door — the tray, tin cup, bowl, and any utensil — checking the spoon edge for sharpening, scratches, or metal wear, while staying well clear of where Voss is lying on the floor.",reveal named no property,"authoring: the meal_tray declares no property, so there is nothing to find on it",authoring,misruled,,
9,2026-09-23T14-29-15-980Z.referee.json,10,warden,none,none,none,"Stand firm by the door with my hand resting on my key ring, keeping maximum distance from Voss on the floor, and simply wait out this final round. I do not approach her, I do not open the door, I do not move from my position guarding the exit.",no object the actor can reach or perceive was named,unbuilt: interpose,run-dmcp,unbuilt,,
10,2026-09-23T15-06-38-645Z.referee.json,9,prisoner,warden,wear,none,"As I appear to obey Croft's order and step back from the window, I grab the tin slop bucket by its wire handle and swing it hard at the side of Croft's head.",wear named no property,"needs reading: wear on a person with no property named -- unbuilt mechanism, or misread? the intent decides",,unbuilt,,
11,2026-09-23T15-07-15-758Z.referee.json,1,warden,prisoner,reveal,none,"Watch Voss closely while pacing the cell — study where her eyes track, what her hands are doing, her posture and bearing — to read whether she's fixated on the window, the door, or something else. Pace slowly enough that my keys clink on my belt, a reminder of who holds them.",reveal named no property,"needs reading: reveal on a person with no property named -- unbuilt mechanism, or misread? the intent decides",,misruled,,
12,2026-09-23T15-07-15-758Z.referee.json,4,prisoner,spoon,conceal,none,"While turning to face Croft and responding to her statement, I smoothly slip the spoon off the meal tray and tuck it into my waistband at the small of my back, under my shirt. I use my body as a screen — stepping slightly toward her so the tray is behind me during the motion. My eyes stay on hers the whole time.",conceal named no property,"misruled: conceal named, property dropped (spoon declares edge/concealment)",model,misruled,,
13,2026-09-23T16-01-54-610Z.referee.json,10,warden,none,none,none,"I position myself between Voss and the window, with the locked door behind me in clear view. I stand at easy arm's reach of her, watching her hands, her eyes, every shift of weight — blocking any path to the window and ready to intercept any move toward the door. I am running out the clock.",no object the actor can reach or perceive was named,unbuilt: interpose,run-dmcp,unbuilt,,
14,2026-09-23T16-20-51-342Z.referee.json,1,prisoner,warden,reveal,none,"Talk to Croft in a resigned, cooperative tone about the transfer, and try to learn when she'll next be away from this part of the block — all while appearing to have accepted my fate.",reveal named no property,"needs reading: reveal on a person with no property named -- unbuilt mechanism, or misread? the intent decides",,unbuilt,,
15,2026-09-23T16-20-51-342Z.referee.json,6,prisoner,cot,wear,posture,"Sit down on the cot, pull the blanket partway over my legs, and lean back against the wall as if I'm done for the evening and ready to sleep. Leave the spoon on the tray for now — don't touch anything. Project total boredom and compliance so Croft finishes up and moves on.",the property citation did not verify against cot's own description,unclassified,,misruled,,
